adsh,grp,arc,negative,ptag,pversion,ctag,cversion
0001305014-11-000034,1,29,1,Assets,us-gaap/2009,Assets,us-gaap/2009
0000018926-11-000021,2,4,1,Assets,us-gaap/2009,Assets,us-gaap/2009
0001305014-11-000034,1,14,1,Assets,us-gaap/2009,Assets,us-gaap/2009
0000018926-11-000021,2,5,1,Assets,us-gaap/2009,Assets,us-gaap/2009
0001305014-11-000034,1,21,1,Assets,us-gaap/2009,Assets,us-gaap/2009
0000018926-11-000021,2,1,1,Assets,us-gaap/2009,Assets,us-gaap/2009
0001305014-11-000034,1,20,1,AssetsCurrent,us-gaap/2009,AssetsCurrent,us-gaap/2009
0000018926-11-000021,2,10,1,AssetsCurrent,us-gaap/2009,AssetsCurrent,us-gaap/2009
0001305014-11-000034,1,16,1,AssetsCurrent,us-gaap/2009,AssetsCurrent,us-gaap/2009
0000018926-11-000021,2,11,1,AssetsCurrent,us-gaap/2009,AssetsCurrent,us-gaap/2009
0001305014-11-000034,1,15,1,AssetsCurrent,us-gaap/2009,AssetsCurrent,us-gaap/2009
0000018926-11-000021,2,7,1,AssetsCurrent,us-gaap/2009,AssetsCurrent,us-gaap/2009
0001305014-11-000034,1,18,1,AssetsCurrent,us-gaap/2009,AssetsCurrent,us-gaap/2009
0000018926-11-000021,2,9,1,AssetsCurrent,us-gaap/2009,AssetsCurrent,us-gaap/2009
0001305014-11-000034,1,17,1,AssetsCurrent,us-gaap/2009,AssetsCurrent,us-gaap/2009
0000018926-11-000021,2,8,1,AssetsCurrent,us-gaap/2009,AssetsCurrent,us-gaap/2009
0001305014-11-000034,1,19,1,AssetsCurrent,us-gaap/2009,AssetsCurrent,us-gaap/2009
0000018926-11-000021,2,6,1,AssetsCurrent,us-gaap/2009,AssetsCurrent,us-gaap/2009
0001305014-11-000034,1,27,1,AssetsNoncurrent,us-gaap/2009,AssetsNoncurrent,us-gaap/2009
0001305014-11-000034,1,24,1,AssetsNoncurrent,us-gaap/2009,AssetsNoncurrent,us-gaap/2009
0001305014-11-000034,1,26,1,AssetsNoncurrent,us-gaap/2009,AssetsNoncurrent,us-gaap/2009
0001305014-11-000034,1,28,1,AssetsNoncurrent,us-gaap/2009,AssetsNoncurrent,us-gaap/2009
0001305014-11-000034,1,22,1,AssetsNoncurrent,us-gaap/2009,AssetsNoncurrent,us-gaap/2009
0001305014-11-000034,1,23,1,AssetsNoncurrent,us-gaap/2009,AssetsNoncurrent,us-gaap/2009
0000018926-11-000021,2,3,1,AssetsNoncurrent,us-gaap/2009,AssetsNoncurrent,us-gaap/2009
0000018926-11-000021,2,2,1,AssetsNoncurrent,us-gaap/2009,AssetsNoncurrent,us-gaap/2009
0001305014-11-000034,1,25,1,AssetsNoncurrent,us-gaap/2009,AssetsNoncurrent,us-gaap/2009
0000018926-11-000021,1,1,1,BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,us-gaap/2009,BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,us-gaap/2009
0000018926-11-000021,1,6,-1,BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,us-gaap/2009,BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,us-gaap/2009
0000018926-11-000021,1,10,1,BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,us-gaap/2009,BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,us-gaap/2009
